ID,YEAR,TITLE,LANGUAGE,AUTHORS
11000,2006-07-04,An Old Babylonian Version of the Gilgamesh Epic,en,"Clay, Albert Tobias, 1866-1925; Jastrow, Morris, 1861-1921"
11001,2004-02-01,String Quartet No. 05 in A major Opus 18,en,"Beethoven, Ludwig van, 1770-1827"
11002,2004-02-01,"String Quartet No. 11 in F minor Opus 95 ""Serioso""",en,"Beethoven, Ludwig van, 1770-1827"
11003,2004-02-01,Michelangelo's Shoulder,en,"Wetterau, John Moncure"
11004,2004-02-01,Joe Burke's Last Stand,en,"Wetterau, John Moncure"
11005,2004-02-01,O+F,en,"Wetterau, John Moncure"
11006,2004-02-01,The Book with the Yellow Cover,en,"Wetterau, John Moncure"
11007,2004-02-01,"Jemmy Stubbins, or the Nailer Boy
Illustrations of the Law of Kindness",en,"Burritt, Elihu, 1810-1879 [Editor]"
11008,2004-02-01,Antwerp to Gallipoli: A Year of the War on Many Fronts—and Behind Them,en,"Ruhl, Arthur, 1876-1935"
11009,2004-02-01,"Labor's Martyrs: Haymarket 1887, Sacco and Vanzetti 1927",en,"Marcantonio, Vito, 1902-1954; Foster, William Z., 1881-1961 [Author of introduction, etc.]"
11010,2004-02-01,"The Spectator, Volume 2.",en,"Addison, Joseph, 1672-1719; Steele, Richard, Sir, 1672-1729"
11011,2004-02-01,"A Hilltop on the Marne
Being Letters Written June 3-September 8, 1914",en,"Aldrich, Mildred, 1853-1928"
11012,2004-02-01,The Autobiography of an Ex-Colored Man,en,"Johnson, James Weldon, 1871-1938"
11013,2004-02-01,"Letters of a Traveller; Or, Notes of Things Seen in Europe and America",en,"Bryant, William Cullen, 1794-1878"
11014,2004-02-01,Christmas in Legend and Story: A Book for Boys and Girls,en,"Smith, Elva Sophronia, 1871-1965"
11015,2004-02-01,"Pantheism, Its Story and Significance
Religions Ancient and Modern",en,"Picton, J. Allanson (James Allanson), 1832-1910"
11016,2004-02-01,The Port of Adventure,en,"Williamson, A. M. (Alice Muriel), 1869-1933; Williamson, C. N. (Charles Norris), 1859-1920"
11017,2004-02-01,"Samuel F. B. Morse, His Letters and Journals
In Two Volumes, Volume I.",en,"Morse, Samuel Finley Breese, 1791-1872; Morse, Edward Lind, 1857-1923 [Editor]"
11018,2004-02-01,"Samuel F. B. Morse, His Letters and Journals
In Two Volumes, Volume II",en,"Morse, Samuel Finley Breese, 1791-1872; Morse, Edward Lind, 1857-1923 [Editor]"
11019,2004-02-01,Van Bibber and Others,en,"Davis, Richard Harding, 1864-1916"
11020,2004-02-01,"Angels and Ministers, and Other Victorian Plays",en,"Housman, Laurence, 1865-1959"
11021,2004-02-01,"A Compilation of the Messages and Papers of the Presidents. Volume 5, part 4: James Buchanan",en,"Richardson, James D. (James Daniel), 1843-1914 [Editor]"
11022,2004-02-01,Sowing and Reaping: A Temperance Story,en,"Harper, Frances Ellen Watkins, 1825-1911; Foster, Frances Smith [Editor]"
11023,2004-02-01,"Gems of Poetry, for Girls and Boys",en,Unknown
11024,2004-02-01,"Max Havelaar
Of de koffiveilingen der Nederlandsche Handelsmaatschappy",nl,"Multatuli, 1820-1887"
11025,2004-02-01,Phaethon: Loose Thoughts for Loose Thinkers,en,"Kingsley, Charles, 1819-1875"
11026,2004-02-01,Literary and General Lectures and Essays,en,"Kingsley, Charles, 1819-1875"
11027,2004-02-01,Grimm's Fairy Stories,en,"Grimm, Jacob, 1785-1863; Grimm, Wilhelm, 1786-1859; Gruelle, Johnny, 1880-1938 [Illustrator]; Owen, Robert Emmett, 1878-1957 [Illustrator]"
11028,2004-02-01,Philippine Folk-Tales,en,"Bayliss, Clara Kern, 1848-; Benedict, Laura Estelle Watson, 1861-; Gardner, Fletcher; Maxfield, Berton L.; Millington, W. H."
11029,2004-02-01,American Hero-Myths: A Study in the Native Religions of the Western Continent,en,"Brinton, Daniel G. (Daniel Garrison), 1837-1899"
11030,2004-02-01,"Incidents in the Life of a Slave Girl, Written by Herself",en,"Jacobs, Harriet A. (Harriet Ann), 1813-1897; Child, Lydia Maria, 1802-1880 [Editor]"
11031,2004-02-01,Samuel Johnson,en,"Stephen, Leslie, 1832-1904"
11032,2004-02-01,"Wilson's Tales of the Borders and of Scotland, Volume 23",en,"Wilson, John Mackay, 1804-1835 [Compiler]; Leighton, Alexander, 1800-1874 [Editor]"
11033,2004-02-01,"The Angel Over the Right Shoulder; Or, The Beginning of a New Year",en,"Trusta, H., 1815-1852"
11034,2004-02-01,"A Compilation of the Messages and Papers of the Presidents. Volume 3, part 2: Martin Van Buren",en,"Richardson, James D. (James Daniel), 1843-1914 [Editor]"
11035,2004-02-01,"Aziyadé
Extrait des notes et lettres d'un lieutenant de la marine anglaise entré au  service de la Turquie le 10 mai 1876 tué dans les murs de Kars, le 27 octobre  1877.",fr,"Loti, Pierre, 1850-1923"
11036,2004-02-01,Légendes Normandes,fr,"Lavalley, Gaston, 1834-1922"
11037,2004-02-01,La veille d'armes: Pièce en cinq actes,fr,"Farrère, Claude, 1876-1957; Népoty, Lucien"
11038,2004-02-01,En ballon! Pendant le siege de Paris,fr,"Tissandier, Gaston, 1843-1899"
11039,2004-02-01,"A Woman's Journey Round the World
From Vienna to Brazil, Chili, Tahiti, China, Hindostan, Persia and Asia Minor",en,"Pfeiffer, Ida, 1797-1858"
11040,2004-02-01,"Le passage, suivi de Transfiguration (Nouvelle)",fr,"Aleramo, Sibilla, 1876-1960; Plan, Pierre-Paul, 1870-1951 [Translator]"
