ID,YEAR,TITLE,LANGUAGE,AUTHORS
58020,2018-10-04,"The Trial and Conviction of John Church
The Preacher of the Surrey Tabernacle, Borough Road, at the Surrey Assizes, at Croydon, on Saturday, the 16th of August, 1817, for an Assault With Intent to Commit an Unnatural Crime.",en,Anonymous
58021,2018-10-04,"My Queen: A Weekly Journal for Young Women. Issue 4, October 20, 1900
Marion Marlowe's Noble Work; or, The Tragedy at the Hospital",en,"Sheldon, Lurana, 1862-1945"
58022,2018-10-04,"My Queen: A Weekly Journal for Young Women. Issue 5, October 27, 1900
Marion Marlowe Entrapped; or, The Victim of Professional Jealousy",en,"Sheldon, Lurana, 1862-1945"
58023,2018-10-04,"Harper's Young People, June 6, 1882
An Illustrated Weekly",en,Various
58024,2018-10-04,"Index of the Project Gutenberg Works of Alexandre Dumas, [père]",en,"Dumas, Alexandre, 1802-1870; Widger, David, 1932-2021? [Editor]"
58025,2018-10-04,Index of the Project Gutenberg Works of Friedrich Nietzsche,en,"Nietzsche, Friedrich Wilhelm, 1844-1900; Widger, David, 1932-2021? [Editor]"
58026,2018-10-04,"The Trial and Conviction of That Infamous Hypocrite John Church
The Surrey Tabernacle Preacher, Borough-road, St. George's Fields, for an Abominable Offence; Including the Whole of the Evidence; Tried Before Lord Ellenborough, at the Surrey Assizes, Croydon, Saturday, August 16, 1817. To Which Is Added, His Life, Confessions, Notes of One of His Sermons, the Whole of the Love-letters, &c. &c.",en,Anonymous
58027,2018-10-05,"The Sentence and Affidavit of John Church, the Obelisk Preacher
For an Attempt to Commit an Unnatural Crime on Adam Foreman, at Vauxhall. Together With Judge Bayley's Impressive Address to the Prisoner, at Full Length. At the Court of King's Bench, Nov. 24, 1817.",en,"Dowling, Joseph Augustus"
58028,2018-10-05,She Blows! And Sparm at That!,en,"Hopkins, William John, 1863-1926; Ashley, Clifford W. (Clifford Warren), 1881-1947 [Illustrator]"
58029,2018-10-05,Index of the Project Gutenberg Works of Oliver Goldsmith,en,"Goldsmith, Oliver, 1730?-1774; Widger, David, 1932-2021? [Editor]"
58030,2018-10-05,Warren Commission (15 of 26): Hearings Vol. XV (of 15),en,United States. Warren Commission
58031,2018-10-05,Report of the President's Commission on the Assassination of President John F. Kennedy,en,United States. Warren Commission
58032,2018-10-05,Index of the Project Gutenberg Works of Gilbert K. Chesterton,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936; Widger, David, 1932-2021? [Editor]"
58033,2018-10-05,The Story of American Aviation,en,"Ray, Jim, 1893-1955"
58034,2018-10-05,Hawaiian Flowers,en,"Kuck, Loraine E., -1977; Tongg, Richard C., 1899-; Mundorff, Ted [Illustrator]"
58035,2018-10-05,Andrew Jackson's Hermitage,en,"Caldwell, Mary French"
58036,2018-10-05,"The Miller in Eighteenth-Century Virginia
An Account of Mills & the Craft of Milling, as Well as a Description of the Windmill near the Palace in Williamsburg",en,"Ford, Thomas K.; Sheely, Horace J. [Contributor]"
58037,2018-10-05,The Pastime of Pleasure: An Allegorical Poem,en,"Hawes, Stephen, -1523?"
58038,2018-10-06,"The American Missionary — Volume 36, No. 7, July, 1882",en,Various
58039,2018-10-06,"The Foundling; or, The Child of Providence",en,"Church, J. (John), 1780?-1825?"
58040,2018-10-06,Southern Derringers of the Mississippi Valley,en,"Kirkland, Turner"
58041,2018-10-06,The Good Englishwoman,en,"Williams, Orlo, 1883-"
58042,2018-10-06,Princess White Flame,en,"Crownfield, Gertrude, 1867-1945; Peck, Anne Merriman, 1884-1976 [Illustrator]"
58043,2018-10-06,"The Century Illustrated Monthly Magazine, August, 1913
Vol. LXXXVI. New Series: Vol. LXIV. May to October, 1913",en,Various
58044,2018-10-06,Napaseudun yössä: Romaani Huippuvuorilta,fi,"Frich, Øvre Richter, 1872-1945"
58045,2018-10-08,"Travels in the Interior of Brazil
Principally through the northern provinces, and the gold and diamond districts, during the years 1836-1841",en,"Gardner, George, 1812-1849"
58046,2018-10-06,The Red Court Farm: A Novel (Vol. 1 of 2),en,"Wood, Henry, Mrs., 1814-1887"
58047,2018-10-06,The Red Court Farm: A Novel (Vol. 2 of 2),en,"Wood, Henry, Mrs., 1814-1887"
58048,2018-10-06,"Consolation in Life and Death, Derived from the Life of Christ
Being the substance of a sermon on the death of Mrs. Turner, preached at the Surrey Tabernacle, on Sunday evening, the 15th of August, 1824",en,"Church, J. (John), 1780?-1825?"
58049,2018-10-07,El Marqués de Bradomín: Coloquios Románticos,es,"Valle-Inclán, Ramón del, 1866-1936"
58050,2018-10-07,"The American Missionary — Volume 36, No. 8, August 1882",en,Various
58051,2018-10-07,"The American Missionary — Volume 36, No. 9, September, 1882",en,Various
58052,2018-10-07,"The Self-Plumed Bishop Unplumed
A Reply to the Profound Erudition of the Self-Named Hugh Latimer, in His Doctrine of Endless Punishment Asserted",en,"Latham, Thomas"
58053,2018-10-07,"A Correct Account of the Horrible Occurrence Which Took Place at a Public-House in St. James's Market
In Which It Was Discovered That the Right Rev. Father in God the Bishop of Clogher, Lately Transferred From the Bishopric of Ferns, Was a Principal Actor With a Common Soldier! To the Disgrace Not Only of the Cloth, to Which He Was Attached, and as a Commissioner of the Board of Education, and a Dictator of Public Morals, but as a Member of That Nation Which Gave Him Birth!",en,Anonymous
58054,2018-10-07,De martelaars der wetenschap,nl,"Tissandier, Gaston, 1843-1899; Gilbert, Camille, 1838- [Illustrator]; Vries, Jo. de (Jeronimo), 1838-1915 [Translator]"
58055,2018-10-08,Murhattu urkkija: Salapoliisiromaani,fi,"Elvestad, Sven, 1884-1934"
58056,2018-10-08,"Harper's Round Table, June 9, 1896",en,Various
58057,2018-10-08,Modern Magic: A Practical Treatise on the Art of Conjuring,en,"Hoffmann, Professor, 1839-1919"
58058,2018-10-08,"The Royal Exchange and the Palace of Industry; or, The Possible Future of Europe and the World",en,"Binney, Thomas, 1798-1874"
58059,2018-10-09,La madre naturaleza (2ª parte de Los pazos de Ulloa),es,"Pardo Bazán, Emilia, condesa de, 1852-1921"
58060,2018-10-09,"Journal of Residence in the New Hebrides, S.W. Pacific Ocean",en,"Bice, Charles; Brittain, A."
58061,2018-10-09,"Reminiscences of Confederate Service, 1861-1865",en,"Dawson, Francis Warrington, 1840-1889"
58062,2018-10-09,"The Preacher's Complete Homiletic Commentary on the Books of the Bible, Volume 15 (of 32)
The Preacher's Complete Homiletic Commentary on the Book of the Prophet Isaiah, Volume I",en,"Bertram, Robert Aitkin; Tucker, Alfred, 1849-1914"
58063,2018-10-09,Voyage en Espagne d'un Ambassadeur Marocain (1690-1691),fr,"Wazir al-Ghassani, Muhammad ibn Abd al-Wahhab, -1708?; Sauvaire, Henri Joseph, 1831-1896 [Translator]"
58064,2018-10-09,Index of the Project Gutenberg Works of Grant Allen,en,"Allen, Grant, 1848-1899; Widger, David, 1932-2021? [Editor]"
58065,2018-10-10,Tell el Amarna and the Bible,en,"Pfeiffer, Charles F., 1919-1976"
58066,2018-10-10,"The Silversmith in Eighteenth-Century Williamsburg
An Account of His Life & Times, & of His Craft",en,"Ford, Thomas K.; Bullock, Thomas K. [Contributor]"
58067,2018-10-10,"A Letter to the Loving and Beloved People of the Parish of Madeley, and Its Vicinity, Who Have Lost a Friend to Piety in the Death of Mrs. Fletcher, Widow of the Rev. J. W. Fletcher, (or de la Flechere,) Late Vicar of Madeley, Shropshire.",en,"Tooth, Mary"
58068,2018-10-10,Wagner as Man & Artist,en,"Newman, Ernest, 1868-1959"
58069,2018-10-10,Les chasseurs mexicains: Scènes de la vie mexicaine,fr,"Aimard, Gustave, 1818-1883"
58070,2018-10-10,"Home Life in Russia, Volumes 1 and 2
[Dead Souls]",en,"Gogol, Nikolai Vasilevich, 1809-1852; Lach-Szyrma, Krystin, 1791?-1866 [Translator]"
58071,2018-10-10,"A Letter on Suspended Animation
containing experiments shewing that it may be safely employed during operations on animals",en,"Hickman, Henry Hill, 1800-1830"
58072,2018-10-10,"The Unity of the Church Essential to the Conversion of the World
A Sermon, Preached Before the Directors and Friends of the London Missionary Society, During Their Anniversary in May, 1846, in the Church of St. Mary, Spital Square, London",en,"Gwyther, James Henry Alexander, -1875"
58073,2018-10-11,Secrets of Radar,en,"Snell, Roy J. (Roy Judson), 1878-1959"
58074,2018-10-11,"Travels Into Bokhara (Volume 1 of 3)
Being the Account of A Journey from India to Cabool, Tartary, and Persia; Also, Narrative of a Voyage on the Indus, From the Sea to Lahore, With Presents From the King of Great Britain; Performed Under the Orders of the Supreme Government of India, in the Years 1831, 1832, and 1833",en,"Burnes, Alexander, Sir, 1805-1841"
58075,2018-10-11,Index of the Project Gutenberg Works of Arnold Bennett,en,"Bennett, Arnold, 1867-1931; Widger, David, 1932-2021? [Editor]"
58076,2018-10-11,Caliban by the Yellow Sands: A Community Masque of the Art of the Theatre,en,"MacKaye, Percy, 1875-1956; Jones, Robert Edmond, 1887-1954 [Illustrator]; Urban, Joseph, 1872-1933 [Illustrator]"
58077,2018-10-11,"Colección de Documentos Inéditos Relativos al Descubrimiento, Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 8, De Los Pleitos de Colón, II",es,Real Academia de la Historia (Spain) [Editor]
58078,2018-10-11,"Observations on the Sermons of Elias Hicks
In Several Letters to Him; With Some Introductory Remarks, Addressed to the Junior Members of the Society of Friends.",en,"Waln, Robert, 1765-1836"
58079,2018-10-11,Index of the Project Gutenberg Works of Madame D'Arblay (Frances Burney),en,"Burney, Fanny, 1752-1840; Widger, David, 1932-2021? [Editor]"
58080,2018-10-11,poems of yes and no,en,"Bartlett, Elizabeth, 1911-1994"
58081,2018-10-11,"The French in Algiers
The Soldier of the Foreign Legion; and The Prisoners of Abd-el-Kader",en,"Alby, Ernest, 1809-1868; Lamping, Clemens, 1812-1885; Duff Gordon, Lucie, Lady, 1821-1869 [Translator]"
58082,2018-10-11,The Adventures of an Ugly Girl,en,"Corbett, George, Mrs., 1846-1930"
58083,2018-10-12,"The Chronicles of Enguerrand de Monstrelet, Vol. 07 [of 13]
Containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",en,"Monstrelet, Enguerrand de, 1390?-1453; Johnes, Thomas, 1748-1816 [Translator]"
58084,2018-10-12,Cardenio: Scènes de la Vie Mexicaine,fr,"Aimard, Gustave, 1818-1883"
58085,2018-10-12,"The Poems of Madison Cawein, Volume 5 (of 5)
Poems of meditation and of forest and field",en,"Cawein, Madison Julius, 1865-1914; Pape, Eric, 1870-1938 [Illustrator]"
58086,2018-10-12,"Roland Yorke
A Sequel to ""The Channings""",en,"Wood, Henry, Mrs., 1814-1887"
58087,2018-10-13,Kaunis ja sen lait,fi,"Rydberg, Viktor, 1828-1895; Palola, Eino, 1885-1951 [Translator]"
58088,2018-10-13,Les trois pirates (1/2),fr,"Corbière, Edouard, 1793-1875"
58089,2018-10-13,Index of the Project Gutenberg Works of Wilkie Collins,en,"Collins, Wilkie, 1824-1889; Widger, David, 1932-2021? [Editor]"
58090,2018-10-13,Les trois pirates (2/2),fr,"Corbière, Edouard, 1793-1875"
58091,2018-10-13,The Honorable Miss Moonlight,en,"Watanna, Onoto, 1875-1954"
58092,2018-10-13,Round the Sofa; vol. 1,en,"Gaskell, Elizabeth Cleghorn, 1810-1865"
58093,2018-10-13,Round the Sofa; vol. 2,en,"Gaskell, Elizabeth Cleghorn, 1810-1865"
58094,2018-10-14,Prinzeßchen im Walde,de,"Olfers, Sibylle, 1881-1916"
58095,2018-10-14,"The Life and Letters of the Rev. George Mortimer, M.A.
Rector of Thornhill, in the Diocese of Toronto, Canada West",en,"Armstrong, John"
58096,2018-10-14,"A Trip to the Chain-Bridge, Near Bangor, and Other Parts of North Wales",en,Anonymous
58097,2018-10-14,Reminiscences of Tottenham,en,"Couchman, Harriet"
58098,2018-10-14,Children of Wild Australia,en,"Pitts, Herbert"
58099,2018-10-15,Mother of Pearl,en,"France, Anatole, 1844-1924; Chapman, Frederic, -1918 [Translator]"
58100,2018-10-14,Words; Their Use and Abuse,en,"Mathews, William, 1818-1909"
58101,2018-10-14,Ragged Homes and How to Mend Them,en,"Bayly, Mrs. (Mary)"
58102,2018-10-15,"Representative British Orations Volume 4 (of 4)
With Introductions and Explanatory Notes",en,"Alden, John B. (John Berry), 1847-1924 [Editor]"
58103,2018-10-15,20 poemas para ser leídos en el tranvía,es,"Girondo, Oliverio, 1891-1967"
58104,2018-10-15,Observations on Coroners,en,"Hewitt, William, -1876"
58105,2018-10-15,A Letter to the Bishop of Exeter,en,"Alderson, Edward Hall, Sir, 1787-1857"
58106,2018-10-15,A Second Letter to the Bishop of Exeter,en,"Alderson, Edward Hall, Sir, 1787-1857"
58107,2018-10-15,For the Story Teller: Story Telling and Stories to Tell,en,"Bailey, Carolyn Sherwin, 1875-1961"
58108,2018-10-15,"Facts and Assertions: or a Brief and Plain Exhibition of the Incongruity of the Peculiar Doctrines of the Church of Rome
With Those Both of the Sacred Scriptures and of the Early Writers of the Christian Church Catholic",en,"Faber, George Stanley, 1773-1854"
58109,2018-10-16,History of biology,en,"Miall, L. C. (Louis Compton), 1842-1921"
58110,2018-10-16,"Harper's Young People, June 13, 1882
An Illustrated Weekly",en,Various
58111,2018-10-16,The Structure and Habits of Spiders,en,"Emerton, J. H. (James Henry), 1847-1930"
58112,2018-10-16,"Report of the Cromer Ladies' Bible Association, 1838",en,Cromer Ladies' Bible Association
58113,2018-10-16,"An Act to Provide for the Paving, Gravelling, Lighting, and Watching Certain Footways and Carriageways in and Near Brompton Square
In the Parish of Saint Mary Abbotts Kensington, in the County of Middlesex and to Provide for the Maintenance of a Garden and Shrubbery in the Said Square.",en,Anonymous
58114,2018-10-16,"What will they say at Brompton? A Comedetta, in One Act.",en,"Coyne, J. Stirling (Joseph Stirling), 1803-1868"
58115,2018-10-16,Like Another Helen,en,"Horton, George, 1860-1942; Relyea, C. M. (Charles M.), 1863-1932 [Illustrator]"
58116,2018-10-17,Felicitas: Historiallinen romaani kansainvaelluksen ajoilta (v. 476 j.Kr.),fi,"Dahn, Felix, 1834-1912"
58117,2018-10-17,"Musical Instruments, Historic, Rare and Unique",en,"Hipkins, Alfred J. (Alfred James), 1826-1903; Gibb, William [Illustrator]"
58118,2018-10-17,"Useful Knowledge: Volume 3. Animals
Or, a familiar account of the various productions of nature",en,"Bingley, William, 1774-1823"
58119,2018-10-17,The Destruction of the Greek Empire and the Story of the Capture of Constantinople by the Turks,en,"Pears, Edwin, 1835-1919"
58120,2018-10-17,Go to Cromer,en,Anonymous
58121,2018-10-17,Imperialism in South Africa,en,"Ritchie, J. Ewing (James Ewing), 1820-1898"
58122,2018-10-17,A Guide to Cromer and Its Neighbourhood,en,Anonymous
58123,2018-10-17,The Unfinished Programme of Democracy,en,"Roberts, Richard, 1874-1945"
58124,2018-10-17,"The historians' history of the world in twenty-five volumes, volume 06",en,"Williams, Henry Smith, 1863-1943 [Editor]"
58125,2018-10-17,Colonel Henry Ludington: A Memoir,en,"Johnson, Willis Fletcher, 1857-1931"
58126,2018-10-18,"The American Missionary — Volume 36, No. 10, October, 1882",en,Various
58127,2018-10-18,"The American Missionary — Volume 36, No. 11, November, 1882",en,Various
58128,2018-10-18,"The American Missionary — Volume 36, No. 12, December, 1882",en,Various
58129,2018-10-18,"Blackwood's Edinburgh Magazine, Volume 61, No. 375, January-June, 1847",en,Various
58130,2018-10-18,Tähtisen perhe ja Tilhispesä,fi,"Topelius, Toini, 1854-1910"
58131,2018-10-18,"Through Hell with Hiprah Hunt
A Series of Pictures and Notes of Travel Illustrating the Adventures of a Modern Dante in the Infernal Regions; Also Other Pictures of the Same Subterranean World",en,"Young, Art, 1866-1943"
58132,2018-10-18,"Tom Pagdin, Pirate",en,"Brady, E. J. (Edwin James), 1869-1952; Lindsay, Lionel, Sir, 1874-1961 [Illustrator]"
58133,2018-10-18,"Twentieth Century Culture and Deportment
Or the Lady and Gentleman at Home and Abroad; Containing Rules of Etiquette for All Occasions, Including Calls; Invitations; Parties; Weddings; Receptions; Dinners and Teas; Etiquette of the Street; Public Places, Etc., Etc. Forming a Complete Guide to Self-Culture; the Art of Dressing Well; Conversation; Courtship; Etiquette for Children; Letter-Writing; Artistic Home and Interior Decorations, Etc.",en,"Cooke, Maud C."
58134,2018-10-19,"The Manchester and Glasgow Road, Volume 1 (of 2)
This Way to Gretna Green",en,"Harper, Charles G. (Charles George), 1863-1943"
58135,2018-10-19,"The Saint's Everlasting Rest
A Treatise of the Blessed State of the Saints in Their Enjoyment of God in Heaven",en,"Baxter, Richard, 1615-1691; Fawcett, Benjamin, 1715-1780 [Editor]"
58136,2018-10-19,Conscience & Fanaticism: An Essay on Moral Values,en,"Pitt-Rivers, George Henry Lane Fox, 1890-1966"
58137,2018-10-19,Lawn-tennis,en,"Dwight, James, 1852-1917"
58138,2018-10-19,"The Anatomy of Vegetables Begun
With a General Account of Vegetation founded thereon",en,"Grew, Nehemiah, 1641-1712"
58139,2018-10-20,Vagabonding Through Changing Germany,en,"Franck, Harry Alverson, 1881-1962"
58140,2018-10-20,"Memoirs of the Reign of King George the Third, Volume 3 (of 4)",en,"Walpole, Horace, 1717-1797; Le Marchant, Denis, 1795-1874 [Editor]"
58141,2018-10-20,Fabiola eli katakombien kirkko,fi,"Wiseman, Nicholas Patrick, 1802-1865; Mannstén, Emil, 1873-1944 [Translator]"
58142,2018-10-21,Saksanmaa,fi,"Inha, Into Konrad, 1865-1930"
58143,2018-10-21,Suomen kultainen kirja I,fi,"Wettenhovi-Aspa, Sigurd, 1870-1946; Raekallio, J. [Translator]"
58144,2018-10-21,"Deutschland und Armenien, 1914-1918: Sammlung diplomatischer Aktenstücke",de,"Lepsius, Johannes, 1858-1926 [Editor]"
58145,2018-10-21,Zwei Städte,de,"Dickens, Charles, 1812-1870; Browne, Hablot Knight, 1815-1882 [Illustrator]; Seybt, Julius, -1871 [Translator]"
58146,2018-10-21,"Reminiscences: a Topographical Account of Market Lavington, Wilts, Its Past and Present Condition.
Also, the Rise and Progress of the Independent Church in That Place. And the Authentic History of David Saunders, the Pious Shepherd of Salisbury Plain.",en,"Atley, Henry"
58147,2018-10-21,"Visits to Fields of Battle, in England, of the Fifteenth Century
to which are added, some miscellaneous tracts and papers upon archæological subjects",en,"Brooke, Richard, 1791-1861"
58148,2018-10-21,"Darstellende Geometrie des Geländes
und verwandte Anwendungen der Methode der kotierten Projektionen",de,"Rothe, Rudolf, 1873-1942"
58149,2018-10-22,"La séparation des Églises et de l'État
Rapport fait au nom de la Commission de la Chambre des
Députés, suivi des pièces annexes",fr,"Briand, Aristide, 1862-1932"
58150,2018-10-22,The Princess Sophia,en,"Benson, E. F. (Edward Frederic), 1867-1940"
58151,2018-10-22,"An Essay on the Encroachments of the German Ocean Along the Norfolk Coast
With a Design to Arrest Its Further Depredations",en,"Hewitt, William, -1876"
58152,2018-10-22,Essay on the Classification of the Insane,en,"Allen, M. (Physician)"
58153,2018-10-23,"The Cambrian Directory [1800]; Or, Cursory Sketches of the Welsh Territories.
With a Chart, Comprehending at One View, the Advisable Route, Best Inns, Distances, and Objects Most Worthy of Attention.",en,Anonymous
58154,2018-10-23,La femme assise,fr,"Apollinaire, Guillaume, 1880-1918"
58155,2018-10-24,The Bar-20 Three,en,"Mulford, Clarence Edward, 1883-1956; Schoonover, Frank E., 1877-1972 [Illustrator]"
58156,2018-10-24,Barbro Bertingin tyttövuodet,fi,"Kuylenstierna-Wenster, Elisabeth, 1869-1933; Seppänen, Rob. A., 1875-1920 [Translator]"
58157,2018-10-24,Index of the Project Gutenberg Works of Charles Dickens,en,"Dickens, Charles, 1812-1870; Widger, David, 1932-2021? [Editor]"
58158,2018-10-24,Index of the Project Gutenberg Works of Louisa M. Alcott,en,"Alcott, Louisa May, 1832-1888; Widger, David, 1932-2021? [Editor]"
58159,2018-10-24,Fresco Painting,en,"Ward, James, 1851-1924"
58160,2018-10-24,"Allen's West London Street Directory, 1868",en,"Allen, Samuel"
58161,2018-10-25,Dwight L. Moody: Hänen elämänsä ja vaikutuksensa,fi,"Moody, William R. (William Revell), 1869-1933; Northrop, Henry Davenport, 1836-1909; Skutnabb, Akseli, 1875-1929 [Translator]"
58162,2018-10-25,Index of the Project Gutenberg Works of R. D. Blackmore,en,"Blackmore, R. D. (Richard Doddridge), 1825-1900; Widger, David, 1932-2021? [Editor]"
58163,2018-10-25,Index of the Project Gutenberg Works of Henry Rider Haggard,en,"Haggard, H. Rider (Henry Rider), 1856-1925; Widger, David, 1932-2021? [Editor]"
58164,2018-10-25,"Doodles, the Sunshine Boy",en,"Dowd, Emma C., 1851-1938; Kirk, Maria Louise, 1860-1938 [Illustrator]"
58165,2018-10-25,When You Were a Boy,en,"Sabin, Edwin L. (Edwin Legrand), 1870-1952; Steele, Frederic Dorr, 1873-1944 [Illustrator]"
58166,2018-10-25,The Art of Tying the Cravat; Demonstrated in sixteen lessons,en,"Le Blanc, H., -1887"
58167,2018-10-26,"Harper's Round Table, June 16, 1896",en,Various
58168,2018-10-26,"The Puering, Bating & Drenching of Skins",en,"Wood, Joseph Turney, 1865-1924"
58169,2018-10-26,Hegel's Lectures on the History of Philosophy: Volume 3 (of 3),en,"Hegel, Georg Wilhelm Friedrich, 1770-1831; Haldane, Elizabeth Sanderson, 1862-1937 [Translator]; Simson, Frances H. [Translator]"
58170,2018-10-26,"L'Illustration, No. 3738, 24 Octobre 1914",fr,Various
58171,2018-10-26,Index of the Project Gutenberg Works of George William Curtis,en,"Curtis, George William, 1824-1892; Widger, David, 1932-2021? [Editor]"
58172,2018-10-26,Index of the Project Gutenberg Works of Washington Irving,en,"Irving, Washington, 1783-1859; Widger, David, 1932-2021? [Editor]"
58173,2018-10-26,"The Great Invasion of 1813-14; or, After Leipzig
Being a story of the entry of the allied forces into Alsace and Lorraine, and their march upon Paris after the Battle of Leipzig, called the Battle of the Kings and Nations",en,Erckmann-Chatrian
58174,2018-10-27,"The Battle of Wavre and Grouchy's Retreat
A study of an Obscure Part of the Waterloo Campaign",en,"Kelly, William Hyde, 1882-"
58175,2018-10-26,"The Boy Travellers in the Far East, Part Second
Adventures of Two Youths in a Journey to Siam and Java; With Descriptions of Cochin-China, Cambodia, Sumatra and the Malay Archipelago",en,"Knox, Thomas Wallace, 1835-1896"
58176,2018-10-27,The Life and Experiences of an Ex-Convict in Port Macquarie,en,"Woomera, 1817-1900"
58177,2018-10-27,"Itsenäinen Suomi, unelmasta todellisuuteen",fi,"Hjelt, Edv. (Edvard), 1855-1921"
58178,2018-10-27,"The American Bee Journal, Volume VI, Number 3, September 1870",en,"Various; Wagner, Samuel [Editor]"
58179,2018-10-28,The Purpose of History,en,"Woodbridge, Frederick James Eugene, 1867-1940"
58180,2018-10-28,My Knitting Book (Second Series),en,"Lambert, Miss (F.)"
58181,2018-10-28,Index of the Project Gutenberg works of Robert Louis Stevenson,en,"Stevenson, Robert Louis, 1850-1894; Widger, David, 1932-2021? [Editor]"
58182,2018-10-28,Index of the Project Gutenberg Works of Thomas Dixon,en,"Dixon, Thomas, Jr., 1864-1946; Widger, David, 1932-2021? [Editor]"
58183,2018-10-28,Haworth's,en,"Burnett, Frances Hodgson, 1849-1924"
58184,2018-10-28,"Biographical notice of Nicolo Paganini
With an analysis of his compositions, and a sketch of the history of the violin.",en,"Fétis, François-Joseph, 1784-1871"
58185,2018-10-28,The Crystal Palace and Other Legends,en,"Frary, Marie Harriette, 1883-; Stebbins, Charles Maurice, 1871-; Martini, Herbert E. [Illustrator]"
58186,2018-10-28,A Compendium on the Soul,en,"Avicenna, 980-1037; Van Dyck, Edward Abbott [Translator]"
58187,2018-10-28,"The American Bee Journal, Vol. VI, No. 4, October 1870",en,"Various; Wagner, Samuel [Editor]"
58188,2018-10-29,Oswald Cray: A Novel,en,"Wood, Henry, Mrs., 1814-1887"
58189,2018-10-29,"The American Bee Journal, Vol. VI., Number 5, November 1870",en,"Various; Wagner, Samuel [Editor]"
58190,2018-10-29,"Lips Tullian und seine Raubgenossen
Eine romantische Schilderung der Thaten dieses furchtbaren Räuberhauptmanns und seiner Bande, welche im Anfange des 18. Jahrhunderts ganz Sachsen, Böhmen und Schlesien mit Furcht, Schrecken und Entsetzen erfüllte",de,"Frei, Ernst"
58191,2018-10-30,"The American Bee-Keeper, Vol. II, Number 3, March, 1892",en,Various
58192,2018-10-30,"Winning His ""Y"": A Story of School Athletics",en,"Barbour, Ralph Henry, 1870-1944; Relyea, C. M. (Charles M.), 1863-1932 [Illustrator]"
58193,2018-10-30,Villars and Its Environs,en,"Flemwell, G. (George), 1865-1928"
58194,2018-10-30,Tirso de Molina,es,"Molina, Tirso de, 1571?-1648; Gili Gaya, Samuel, 1892-1976 [Editor]"
58195,2018-10-30,Index of the Project Gutenberg Works of Edna Ferber,en,"Ferber, Edna, 1885-1968; Widger, David, 1932-2021? [Editor]"
58196,2018-10-30,"The Journal of Electricity, Power and Gas, Volume XX, No. 18, May 2, 1908
Devoted to the Conversion, Transmission and Distribution of Energy",en,"Various; Halloran, A. H. [Editor]"
58197,2018-10-30,"Popular Superstitions, and the Truths Contained Therein
With an Account of Mesmerism",en,"Mayo, Herbert, 1796-1852"
58198,2018-10-30,Pic the Weapon-Maker,en,"Langford, George, 1876-; Osborn, Henry Fairfield, 1857-1935 [Author of introduction, etc.]"
58199,2018-10-30,Index of the Project Gutenberg Works of Charlotte M. Yonge,en,"Yonge, Charlotte M. (Charlotte Mary), 1823-1901; Widger, David, 1932-2021? [Editor]"
58200,2018-10-30,"Lakeland Words
A Collection of Dialect Words and Phrases as Used in Cumberland and Westmorland, with Illustrative Sentences in the North Westmorland Dialect",en,"Kirkby, Bryham; Wright, Joseph, 1855-1930 [Author of introduction, etc.]"
58201,2018-10-30,The Westminster Alice,en,"Saki, 1870-1916; Gould, F. Carruthers (Francis Carruthers), 1844-1925 [Illustrator]"
58202,2018-10-30,A Reaping,en,"Benson, E. F. (Edward Frederic), 1867-1940"
58203,2018-10-30,Elämän keväässä: Tyttökirja Barbro Bertingistä ja hänen tovereistaan,fi,"Kuylenstierna-Wenster, Elisabeth, 1869-1933; Seppänen, Rob. A., 1875-1920 [Translator]"
58204,2018-10-30,A History of Greek Economic Thought,en,"Trever, Albert Augustus, 1874-1940"
58205,2018-10-30,The Frontiers of Language and Nationality in Europe,en,"Dominian, Leon, 1880-1935"
58206,2018-10-30,"From Ocean to Ocean: Across a Continent on a Bicycle
An Account of a Solitary Ride From Adelaide to Port Darwin",en,"Murif, Jerome J., 1863-1926"
58207,2018-10-30,Behold this Dreamer,en,"Bartlett, Elizabeth, 1911-1994"
58208,2018-10-30,Hirvenhovissa: Kertomus,fi,"Beskow, Elisabeth Maria, 1870-1928; Kiikonen, Anni [Translator]"
58209,2018-10-30,"History of the Royal Regiment of Artillery Vol. 2
Compiled from the Original Records",en,"Duncan, Francis, 1836-1888"
58210,2018-10-30,"The Canadian Entomologist, Vol. XII., No. 2, February 1880",en,"Various; Saunders, William, 1836-1914 [Editor]"
58211,2018-10-30,"Les trois mousquetaires, Volume 2 (of 2)",fr,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888; Leloir, Maurice, 1853-1940 [Illustrator]"
58212,2018-10-30,"The Noble and Gentle Men of England
or, notes touching the arms and descents of the ancient knightly and gentle houses of England, arranged in their respective counties.",en,"Shirley, Evelyn Philip, 1812-1882"
58213,2018-10-30,The Rosary,en,Anonymous
58214,2018-10-31,"Public and Private Life of Animals
Adapted from the French of Balzac, Droz, Jules Janin, E. Lemoine, A. De Musset, Georges Sand, &c.",en,"Thomson, J. [Adapter]; Stahl, P.-J., 1814-1886 [Editor]; Grandville, J. J., 1803-1847 [Illustrator]"
